                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86998,                 4.4648,                 1.2115,                0.00715,                0.33333,                0.07275,                0.02734,                 1.6495,                 4.5899,                 2.3642,               0.096004,                  4e-06,                  4e-06
                      2,                0.66927,                 3.6635,                 1.1099,                0.00256,                0.60606,                0.05417,                0.00733,                 2.8039,                 4.9212,                 3.3976,               0.091009,             8.8218e-06,             8.8218e-06
                      3,                0.64587,                 3.2569,                 1.0456,                0.00292,                 0.6734,                0.02547,                0.00515,                  2.613,                 4.8717,                 3.3421,               0.086013,             1.3446e-05,             1.3446e-05
                      4,                0.60999,                 2.9214,                 1.0217,                 0.0029,                0.65152,                0.03671,                0.00708,                 2.3224,                 4.1547,                 3.1313,               0.081018,             1.7871e-05,             1.7871e-05
                      5,                0.64518,                 2.6328,                 0.9774,                0.00333,                0.65152,                 0.0351,                0.01401,                 2.2175,                 4.1222,                 3.2784,               0.076022,             2.2099e-05,             2.2099e-05
                      6,                0.59061,                 2.5139,                0.97689,                0.00386,                 0.7037,                0.04309,                0.02055,                 2.1192,                 4.1634,                 3.1919,               0.071026,             2.6129e-05,             2.6129e-05
                      7,                0.58798,                 2.3061,                 1.0012,                0.00449,                0.68519,                0.09799,                0.06968,                 1.9126,                 3.8495,                 3.1125,                0.06603,             2.9961e-05,             2.9961e-05
                      8,                  0.569,                 2.2969,                 1.0084,                0.00465,                0.85185,                0.24187,                0.19761,                 1.7864,                 3.8989,                 2.9247,               0.061034,             3.3595e-05,             3.3595e-05
                      9,                0.64506,                 2.2763,                 1.0208,                0.00484,                0.92593,                0.33398,                0.28484,                 1.6641,                 3.8078,                 2.7576,               0.056037,              3.703e-05,              3.703e-05
                     10,                0.60459,                 2.0293,                0.98324,                0.67618,                0.33333,                0.56601,                0.49617,                 1.4572,                 3.4029,                 2.1444,                0.05104,             4.0268e-05,             4.0268e-05
                     11,                0.52053,                 1.9892,                0.94942,                 0.9187,                0.27273,                0.62601,                0.55199,                 1.0676,                 3.7104,                 1.4733,               0.046043,             4.3308e-05,             4.3308e-05
                     12,                0.54425,                 1.8769,                0.94296,                0.92511,                0.28788,                0.65199,                 0.5725,                0.65052,                 3.0545,                 1.1064,               0.041046,              4.615e-05,              4.615e-05
                     13,                0.48894,                 1.7475,                0.92647,                0.91003,                0.30303,                0.66646,                0.59147,                0.46791,                 2.7288,                 1.0193,               0.036049,             4.8794e-05,             4.8794e-05
                     14,                0.53403,                 1.8407,                 1.0194,                0.91003,                0.30303,                0.66646,                0.59147,                0.46791,                 2.7288,                 1.0193,               0.031051,             5.1239e-05,             5.1239e-05
                     15,                0.44941,                 1.6856,                0.91379,                0.90249,                0.45378,                0.67002,                 0.6012,                0.40258,                 2.5828,                0.91658,               0.026053,             5.3487e-05,             5.3487e-05
                     16,                0.47224,                  1.628,                0.97097,                0.92568,                0.52322,                0.67312,                0.60819,                0.38842,                 2.4149,                0.89884,               0.021056,             5.5537e-05,             5.5537e-05
                     17,                0.45436,                 1.5583,                 0.9147,                0.91634,                0.73151,                0.82888,                0.76556,                0.38607,                 2.2423,                 0.8922,               0.016057,             5.7389e-05,             5.7389e-05
                     18,                0.52096,                 1.5298,                0.98404,                0.91634,                0.73151,                0.82888,                0.76556,                0.38607,                 2.2423,                 0.8922,               0.011059,             5.9043e-05,             5.9043e-05
                     19,                0.51772,                  1.485,                0.98466,                0.80244,                0.74134,                0.85273,                0.78334,                0.36827,                 2.0339,                0.88257,              0.0060605,             6.0498e-05,             6.0498e-05
                     20,                0.51939,                 1.6086,                0.91011,                0.95912,                0.88673,                0.98655,                0.91994,                0.37238,                 1.8407,                0.87378,              0.0010618,             6.1756e-05,             6.1756e-05
                     21,                0.46768,                 1.5552,                0.90448,                0.95912,                0.88673,                0.98655,                0.91994,                0.37238,                 1.8407,                0.87378,               6.04e-05,               6.04e-05,               6.04e-05
                     22,                0.47565,                 1.4456,                0.97576,                0.98323,                0.90249,                0.98776,                0.90505,                0.37755,                 1.6972,                0.86646,              5.842e-05,              5.842e-05,              5.842e-05
                     23,                0.49711,                 1.4076,                0.96453,                0.98448,                0.89824,                0.98808,                0.91462,                0.38474,                  1.587,                0.86231,              5.644e-05,              5.644e-05,              5.644e-05
                     24,                0.52039,                 1.4855,                0.93771,                0.98448,                0.89824,                0.98808,                0.91462,                0.38474,                  1.587,                0.86231,              5.446e-05,              5.446e-05,              5.446e-05
                     25,                0.48807,                 1.2962,                0.93363,                0.98354,                0.89592,                0.98857,                0.91587,                0.39107,                 1.5168,                0.86154,              5.248e-05,              5.248e-05,              5.248e-05
                     26,                0.45462,                 1.3029,                0.90162,                0.98354,                0.89592,                0.98857,                0.91587,                0.39107,                 1.5168,                0.86154,               5.05e-05,               5.05e-05,               5.05e-05
                     27,                0.55859,                 1.4246,                 0.9791,                0.98118,                0.89876,                0.98857,                0.91559,                0.39097,                 1.4649,                0.85883,              4.852e-05,              4.852e-05,              4.852e-05
                     28,                0.47129,                 1.2792,                0.91879,                0.97565,                0.89998,                0.98948,                0.91623,                  0.389,                 1.4373,                 0.8567,              4.654e-05,              4.654e-05,              4.654e-05
                     29,                0.43071,                 1.3605,                0.92943,                0.97565,                0.89998,                0.98948,                0.91623,                  0.389,                 1.4373,                 0.8567,              4.456e-05,              4.456e-05,              4.456e-05
                     30,                0.45767,                 1.2993,                0.93644,                0.97249,                0.89969,                0.99087,                0.92106,                0.39079,                 1.4212,                0.85712,              4.258e-05,              4.258e-05,              4.258e-05
                     31,                0.45971,                 1.2664,                0.90431,                0.96816,                0.90025,                 0.9914,                0.91824,                0.38756,                 1.4141,                0.85662,               4.06e-05,               4.06e-05,               4.06e-05
