                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.43792,                 1.2927,                0.94136,                0.96816,                0.90025,                 0.9914,                0.91824,                0.38756,                 1.4141,                0.85662,              3.862e-05,              3.862e-05,              3.862e-05
                     33,                0.39589,                 1.2329,                0.87968,                0.91396,                 0.9697,                0.99195,                0.91862,                0.38149,                 1.4013,                0.85519,              3.664e-05,              3.664e-05,              3.664e-05
                     34,                0.52775,                 1.3104,                0.96669,                0.91396,                 0.9697,                0.99195,                0.91862,                0.38149,                 1.4013,                0.85519,              3.466e-05,              3.466e-05,              3.466e-05
                     35,                0.47785,                  1.248,                0.91055,                0.92327,                 0.9697,                0.99313,                0.91842,                0.37772,                 1.3941,                0.85537,              3.268e-05,              3.268e-05,              3.268e-05
                     36,                0.47257,                 1.2421,                0.93347,                0.93088,                 0.9697,                 0.9937,                0.92028,                0.37449,                  1.396,                0.85497,               3.07e-05,               3.07e-05,               3.07e-05
                     37,                0.43422,                 1.2459,                0.90877,                0.93088,                 0.9697,                 0.9937,                0.92028,                0.37449,                  1.396,                0.85497,              2.872e-05,              2.872e-05,              2.872e-05
                     38,                0.49409,                 1.2395,                0.96758,                 0.9459,                 0.9697,                 0.9937,                0.92028,                0.37375,                 1.3887,                0.85575,              2.674e-05,              2.674e-05,              2.674e-05
                     39,                0.49833,                 1.2346,                0.96389,                0.95188,                 0.9697,                 0.9937,                0.92187,                0.37002,                 1.3854,                0.85592,              2.476e-05,              2.476e-05,              2.476e-05
                     40,                0.53721,                 1.2321,                0.95788,                0.95188,                 0.9697,                 0.9937,                0.92187,                0.37002,                 1.3854,                0.85592,              2.278e-05,              2.278e-05,              2.278e-05
                     41,                0.40951,                 1.6634,                0.89989,                0.95131,                 0.9697,                0.99313,                0.92097,                0.36371,                 1.3812,                0.85362,               2.08e-05,               2.08e-05,               2.08e-05
                     42,                0.38989,                 1.6199,                0.90079,                0.95131,                 0.9697,                0.99313,                0.92097,                0.36371,                 1.3812,                0.85362,              1.882e-05,              1.882e-05,              1.882e-05
                     43,                 0.3978,                 1.7783,                0.88676,                0.94223,                 0.9697,                 0.9915,                0.93607,                0.35497,                 1.4266,                0.84979,              1.684e-05,              1.684e-05,              1.684e-05
                     44,                 0.4087,                 1.8309,                0.89721,                0.95065,                 0.9697,                0.99108,                0.93722,                0.34922,                 1.4466,                0.84749,              1.486e-05,              1.486e-05,              1.486e-05
                     45,                0.36742,                 1.6546,                0.89922,                0.95065,                 0.9697,                0.99108,                0.93722,                0.34922,                 1.4466,                0.84749,              1.288e-05,              1.288e-05,              1.288e-05
                     46,                0.41467,                 1.7328,                0.88273,                0.95446,                 0.9697,                0.99006,                0.93484,                 0.3439,                 1.4677,                0.84533,               1.09e-05,               1.09e-05,               1.09e-05
                     47,                0.34768,                 1.6257,                0.87953,                0.96167,                 0.9697,                0.99045,                0.93521,                0.34218,                 1.5058,                 0.8445,               8.92e-06,               8.92e-06,               8.92e-06
                     48,                0.35607,                 1.6363,                0.84235,                0.96167,                 0.9697,                0.99045,                0.93521,                0.34218,                 1.5058,                 0.8445,               6.94e-06,               6.94e-06,               6.94e-06
                     49,                0.37949,                 1.6349,                0.87304,                0.96596,                 0.9697,                0.99045,                0.93521,                0.34223,                 1.5206,                0.84473,               4.96e-06,               4.96e-06,               4.96e-06
                     50,                0.44545,                 1.7002,                0.86785,                0.96596,                 0.9697,                0.99045,                0.93521,                0.34223,                 1.5206,                0.84473,               2.98e-06,               2.98e-06,               2.98e-06
